G28A-NONSPCFC,NONSPECIFIC,G28,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G29A-NONSPCFC,NONSPECIFIC,G29,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G31A-NONSPCFC,NONSPECIFIC,G31,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G32A-NONSPCFC,NONSPECIFIC,G32,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G34A-NONSPCFC,NONSPECIFIC,G34,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G35A-NONSPCFC,NONSPECIFIC,G35,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G37A-NONSPCFC,NONSPECIFIC,G37,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G38A-NONSPCFC,NONSPECIFIC,G38,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G39A-NONSPCFC,NONSPECIFIC,G39,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G40A-NONSPCFC,NONSPECIFIC,G40,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
G41A-NONSPCFC,NONSPECIFIC,G41,A,0,R-AD9999-ZZZ-ZZZ-ZZZ,R,AD9999,ZZZ,ZZZ,ZZZ,9999,NONSPECIFIC,99999,Generic Subgroup,999,NONSPECIFIC,999,NONSPECIFIC,0,0,NONSPCFC,1,6
